و,and,رو,مثال,پست
دهستان,rural district,منظور,تحت,سلطان
مرکزی,central,بی,دوباره,شخصی
زندگی,life,می‌باشد,رسیدن,دیگر
مرکز,center,يا,دفتر,شوروی
بعد,then,شهرت,علت,دینی
همچنین,too,اجتماعی,آمده,وضعیت
پیش,to,معاصر,گل,انقلاب
روز,daytime,دادگان,آتش,عشق
دارای,with,حالت,الله,می‌شوند
شود,dill,ریشه,میدان,فعال
منبع,source,اشاره,ارتباط,اجازه
فارسی,Persian,تن,محیط,اشعار
اول,first,مطلق,واحد,فاصله
اسلامی,Islamic,سمت,برج,اینترنت
مردم,people,گذشته,مدیریت,روم
گروه,group,خان,مربوط,ادامه
بزرگ,large,برنامه‌های,مطالعات,تاسیس
آب,water,قوانین,شود,باید
اهل,inhabitant,واحد,علاوه,رضوی
ناسا,NASA,کرد,برنده,کسب
وابسته,related,علیه,درجه,مهدی
تصویر,portrait,حزب,بسته,مشاهیر
اصلی,original,کشوری,هدف,گروه‌های
شرکت,participation,می‌شد,بزرگی,زمین
جنگ,war,نور,سال‌های,نشر
کند,slow,خاصی,جدید,دوست
فهرست,list,در,کرده‌است,غیر
انگلیسی,English,کد,کره,ششم
نظر,view,بوده,نیروهای,اواخر
جعبه,case,نه,گروهی,پشت
مانند,such as,دیگری,المپیک,عبور
بیشتر,the majority of,پایه,چیزی,بر
موسیقی,music,دسته,هیچ,نشده
منطقه,zone,علاوه,شهید,روستایی
دوره,period,الله,آبان,آنچه
بسیار,very,سپس,بانک,فرزندان
زیر,under,زندگی,کوچک,اردیبهشت
سه,three,گزارش,آذربایجان,وارد
چاپ,publishing,مرکزی,بوده‌است,حسن
ایرانی,Persian,قرمز,بستک,وزارت
علی,Ali,هوای,فیزیک,کارگردانی
سازمان,organization,آمد,آمریکا,ساعت
داد,shout,زبان‌های,شهید,فناوری
آثار,works,بالا,آثار,کشف
اطلاعات,news,پدرش,هدایت,هنری
بن,foundation,چاپ,فوق,باقی
انجام,fulfillment,فقط,شهرداری,کلی
ولی,but,ادبی,کاربرد,زمین
جهان,world,می‌تواند,همسر,مجله
آمار,statistics,ندارد,شرح,چرا
مرگ,death,فی,نشر,ساعت
جمهوری,republic,بودن,بی‌بی‌سی,زندگینامه
میان,middle,رئیس,بیمارستان,جا
راه,way,تلویزیون,روستاهای,کردستان
چند,several,ترک,المپیک,های
بازی,play,آب,تولید,مدیریت
برخی,some,طبق,سالهای,علمی
اولین,first,استرالیا,بازی,بنیاد
حال,state,بصورت,گل,گذاری
آغاز,start,بازیابی‌شده,تحصیل,خوبی
فعالیت,activity,عملیات,انقلاب,انجمن
داده,given,پایتخت,نشده,فضای
روستا,village,محل,تعداد,دهه
اثر,trace,محصول,واحد,دنبال
جنوب,south,ویکی‌پدیای,اشعار,مسابقات
شرقی,oriental,پایگاه,دارای,گسترش
غربی,westerner,مقام,معرفی,نفت
نوع,type,محدود,مسعود,محمدرضا
شاه,Shah,حمایت,مجله,محل
رسمی,official,دستور,ساخته,کنند
دولت,government,یکی,عراق,گل
گرفته,gloomy,آذربایجان,زاده,حاضر
حدود,limits,نشان,دارد,دهه
تولید,production,غیر,ها,یکدیگر
نقش,role,گل,کاری,خوبی
بار,time,موسوی,پارک,ناشر
تشکیل,formation,مطالعه,استان‌های,موارد
فوتبال,soccer,محسوب,محمد,نزدیک
همراه,with,معمولاً,سالهای,کنترل
بسیاری,many,هدف,سفید,منتشر
تنها,only,کمک,پاپ,مرداد
شمال,north,اما,بازیابی‌شده,گل
سیاسی,diplomatic,من,ایجاد,پخش
کردن,do,صفحه,زندگی,برنامه
شامل,including,شبه,آمار,زیادی
ماه,moon,کتابخانه,ندارد,آنجا
اگر,if,ندارد,ساخت,شیعه
شدن,become,می‌کند,ریاست,جنوب
گرفت,seizure,آهنگ,سفر,بزرگ
دوران,period,دولتی,بدون,حکم
باید,must,میرزا,مجله,طول
ی,of,ماه,پیشنهاد,مواد
مجموعه,collection,ج,آبی,محله
حزب,political party,سعید,اصلی,استاد
محل,source,تولید,جعبه,سیستم
ایجاد,creation,سابق,آنچه,باید
جمله,sentence,عربی,ژاپن,آن
جهانی,worldwide,دادن,ترک,شدند
اساس,foundation,با,تهران,جدا
همین,the same,علی,ترانه,فارسی
زمین,land,نزدیک,لحاظ,حتی
مختلف,various,زادگان,شاه,بزرگ‌ترین
سر,upon,نوع,سفر,بهترین
شکل,way,عمومی,برگزار,رود
ساخته,made,را,درست,دار
نشان,sign,مصرف,دفاع,دینی
زادگان,children,پهلوی,کارشناسی,ژانویه
انقلاب,revolution,بهترین,ایجاد,فضایی
فرهنگ,Farhang,باشگاه,شورای,ولی
طول,length,هشت,برد,نمایش
همه,everybody,ناشر,همین,رنگ
متر,meter,دادگاه,هم,تاریخ
علوم,science,نویسنده,گلستان,انگلیسی
جایزه,trohpy,فی,دینی,شهرهای
خط,stroke,سبب,چهار,موسیقی
ساخت,structure,بصورت,ص,جا
افراد,individuals,گیری,کنیم,بار
بیش,more,ندارد,گاهی,ابهام‌زدایی
تیم,team,توجه,بسیار,احتمال
درگاه,threshold,پرداخت,جهانی,اعدام
تاریخی,historic,اصفهان,برادر,درخت
دلیل,reason,ام,شخص,رادیو
سطح,area,میلاد,ساکن,دست
تمام,finished,تفسیر,می‌گویند,متر
فرانسه,France,بستک,آیت,پشت
متحده,united,صدا,رفت,دیده
چون,because,متعلق,فاصله,توسط
زیادی,extra,اکنون,رویدادها,ناحیه
معروف,famous,سایت,بالای,دی
سید,seyyed,اعمال,تلویزیون,پل
توجه,paying attention,فعال,فضای,سخت
ای,Hey,جلوگیری,انرژی,آمده
عربی,Arabic,نام,موزه,ماه
نخستین,first,مقاومت,بنیاد,کوچک
همان,same,تیم,پایگاه,توضیح
سیستم,system,میزان,عبارتند,جریان
من,my,بهره,مدت,ابراهیم
پایان,end,م,انسانی,جنوب
هجری,hejira,انتقال,مذهبی,نرم
نمود,appearance,دوست,مشاهده,می‌گردد
جدید,novel,غیر,همه,ترکی
دکتر,doctor,هایی,سفید,درجه
یافت,finding,یافت,ژاپن,باشند
تعداد,number,خیابان,شماره,حل
هزار,thousand,وزیر,رخ,دره
مجلس,parliament,شهرت,زمین,زاده
برنامه,schedule,صورت,عامل,دنبال
احمد,Ahmed,محمود,سازمان,بیش
علمی,scientific,سلطنت,مستقیم,مختلف
گفته,saying,سده,پهلوی,سایر
توابع,suburbs,نتایج,دانشگاه,بیمارستان
جهت,reason,لندن,زندگی,ارومیه
طور,Sinai Mountain,اسلامی,هنر,نخستین
قرن,century,وسیله,فاصله,بزرگترین
قبل,before,بسیاری,لحاظ,چند
اسلام,Islam,مشغول,تیم,زمان
سوم,third,طی,آموزش,مدیریت
نویسنده,writer,روز,ده,جمع
یعنی,that is,میرزا,شاعران,قابل
آزاد,free,مستقل,نشانی,موجب
جوایز,rewards,خبرگزاری,حسین,آزادی
قابل,capable,ساده,اکثر,جمعیت
غیر,stranger,جدید,شرایط,هنرمند
تولد,birth,کیلومتری,مراکز,علیه
تغییر,variation,اصل,نسبت,آبان
داستان,story,چه,اجرای,بزرگ
خانه,house,کسب,مانده,روم
مدت,time,گروه‌های,علیه,دیگر
ما,we,هفتم,رابطه,فهرست
اشاره,sign,فراهم,بین‌المللی,انجام
تحت,under,اما,پر,آنجا
آلمان,Germany,برادر,اسپانیا,مجلس
حکومت,rule,سال,نمونه,سیاه
ترجمه,translation,رابطه,پیشین,مناسب
نسبت,relation,بن,عبارت,می‌گویند
باعث,cause,جلوگیری,داستان,ترین
زمانی,while,میلادی,سپس,مهر
وارد,entered,خواننده,مشهور,نسخه
رشته,field of study,فرمان,عربی,واقع
نوشته,written,نقش,ای,بطور
حسین,Hossein,رشد,ایتالیا,جای
رئیس,manager,آن,امنیت,کننده
انتشار,release,منجر,داده,برجسته
سمت,side,پشت,سایت,یونان
کیلومتر,kilometer,اشاره,بین,عدم
مسجد,Mosque,عالی,سر,حفظ
دیگری,the other,محمدرضا,اقتصاد,توجه
قانون,law,فضای,زادگان,تاریخ
جنوبی,southern,قهرمان,رسید,نیز
سپس,then,می‌شد,زاده,از
عمومی,universal,مارس,بر,یکم
ادامه,resumption,سمت,مي,بن
الله,god,بیشتری,کانادا,کاخ
فرهنگی,cultural,بی‌بی‌سی,ما,حمل
چهار,four,بار,سپس,نیروی
منتشر,published,رضا,قرآن,شهرهای
سوی,toward,مدرسه,شده‌است,پایین
بدون,without,هستند,سنتی,ابهام‌زدایی
خان,Khan,مدت,از,وب
سرشماری,census,جوایز,گیتار,الکتریکی
آلبوم,album,هنرمند,دادگان,پرداخت
قلعه,fortress,دست,عامل,بستک
درجه,thermometer,مشاهده,هدایت,الله
مربوط,relevant,حالت,عربی,تحت
صفحه,surface,گردد,امر,مسابقات
بازیگر,actress,ساختمان,قم,آخر
رنگ,paint,اهالی,استاد,کاربرد
بالا,up,دریای,مختلف,برادر
چه,what,روستا,طور,پایین
شیخ,sheik,دیگر,مربوط,پنج
انتخاب,selection,البته,باید,بودن
آموزش,training,اندازه,مرکزی,دوران
زن,woman,ارشد,جام,گروهی
مهم,significant,کرده,پادشاهی,کامل
باشگاه,club,می‌گوید,خانواده,بعدها
جای,place,رسیدن,اوایل,ویکی
روش,method,نظیر,کننده,نه
اعلام,announcement,بهمن,بزرگ‌ترین,نوعی
دور,term,امور,رنگ,شخص
باز,spread,اقدام,انتخاب,گاه
غرب,west,مساحت,اوت,صدای
کوه,mountain,کنند,کرد,محیط
اروپا,Europe,کره,خرداد,حسین
نه,no,پیشنهاد,منبع,تاریخ
روزنامه,newspaper,فوتبال,پزشکی,مربوط
کامل,complete,می‌شود,یافته,جرم
شروع,start,دستگاه,شوروی,می
قسمت,share,زمینه,تلاش,نظر
عراق,Iraq,خارجی,رهبری,نتایج
شمالی,northern,تقسیمات,نزدیک,حمل
اجتماعی,social,نفت,پیام,می‌آید
ممکن,possible,سینما,باز,سالهای
تبدیل,transformation,حساب,مساحت,روی
هنر,art,آنجا,روی,سخن
خانوار,family,تئاتر,اشاره,اهمیت
انسان,human,ساله,دادن,باشگاه
پسر,son,پیشنهاد,انتقال,فضای
شبکه,network,طبقه,ژانویه,برگزار
امام,Imam,امنیت,تاسیس,وزن
خورشیدی,solar,تلویزیونی,آنجا,سپتامبر
سایت,center,آن,اوت,بازیابی‌شده
افزایش,increase,دینی,نظام,رابطه
حقوق,salary,جلد,پانویس,طراحی
بازدید,return visit,شود,کنار,همچون
حسن,Hasan,تلویزیونی,وزارت,زمین
مناطق,region,رود,امر,خواننده
وزارت,ministry,گاه,جاده,کد
نظامی,soldier,نیمه,نقل,می‌گویند
تقویم,appraisal,شمسی,انسانی,می‌گوید
شماره,number,بعدی,دادن,انرژی
جان,soul,حال,سفید,تقویم
کنار,side,نقشه,اعداد,عبور
رسید,receipt,انتقال,کشتی,شهرهای
دهه,decade,ژاپن,اصل,حق
دنیا,world,ایالات,ساعت,دوران
هیچ,no,نبود,تقریباً,کننده
چنین,such a,داده,برتر,قرن
عضو,organ,ارتش,شما,جام
آباد,thriving,فیزیک,جمعیت,چنین
آنجا,there,شیعه,حاکم,مشهور
آنان,they,قبلی,سیارک,پایه
افغانستان,Afghanistan,پدرش,روشن,ملی
خراسان,Khorasan,دسامبر,بازی‌های,آزادی
بنا,mason,محصولات,موسسه,کشور
ادبیات,literature,دهه,کرده,کردستان
موجود,creature,روستا,طبیعی,المللی
زاده,born,رشد,خواهد,تمامی
فارس,Fars,تقریباً,تحصیل,جدا
توسعه,spreading,هجری,بررسی,زنان
سی,thirty,مواد,صورت,اعمال
عمل,operation,نزد,بازی‌های,زنان
کننده,performer,سخت,فضایی,تمام
ریاست,directorship,فشار,موزه,شرایط
معنی,spirit,محمود,جنبش,فلسفه
تپه,hill,نو,بار,مشهور
مهندسی,engineering,اثر,اجرای,شده
جلد,volume,افراد,شهرستان,همه
مواد,materials,مشاهیر,توابع,گل
جام,grail,مقاله,کشتی,اطراف
خانواده,family,دقیقه,زندگی,مبارزه
طبیعی,normal,کرده,ژوئیه,بخش
قدرت,power,نقاط,دقیقه,جنگ
دریافت,understanding,گوناگون,عرضه,ضد
حضور,presence,توضیح,عصر,هوای
سبک,style,هنوز,انسانی,دستگاه
حتی,even,استان,برتر,بازی‌های
جریان,story,نوع,کودکان,نشر
انتخابات,elections,غرب,زاده,مراکز
سازی,instrumental,رده,بررسی,اجازه
هنگام,time,دریاچه,تاریخی,مشاهیر
طریق,way,اداره,عالی,نقاط
پدر,father,سلطان,خاص,مطالعه
طی,through,م,جام,ژانویه
بودن,exist,راک,رابطه,می‌گردد
ایالت,state,قدرت,مدت,کشورهای
اصفهان,Esfehan,چین,محیط,ارزش
جزیره,isle,نظامی,اتحادیه,اردیبهشت
داخلی,local,دیگری,بنا,خراسان
میلیون,million,سفر,سبب,اولین
رفت,went,حضور,قهرمان,رادیو
طراحی,designing,سپس,ولی,تاسیس
نتیجه,result,تصمیم,ماه,سر
گل,mud,شود,مستقل,مهر
کمک,help,ماده,داشتن,مربع
پیدا,visible,مشاهده,اهمیت,کسب
شعر,poetry,کشف,روز,سازمان
علت,cause,حمل,داشتن,گرم
درصد,percentage,انسان,دنبال,قهرمان
پزشکی,medical profession,گرفته‌است,دید,بیست
میلاد,birth,نقاط,مقاله,یافت
حرکت,movement,عرضه,تعداد,بهمن
استاد,professor,رسمی,مقدار,البته
نزدیک,near,بودن,بهره,خصوصی
خارج,outside of,پرورش,ریاضی,کنار
قمری,lunar,بیست,ترانه,ریشه
انواع,types,امام,گفته,جای
گذشته,past,سالگی,رود,مصرف
سایر,other,تلویزیونی,اسرائیل,نگهداری
واحد,unit,آنکه,تاکنون,پانویس
رشد,growth,خاک,پست,خلیج
هند,India,کد,کارگردان,امروز
چین,China,قبلی,شیمیایی,تقسیمات
سده,obstruction,عمل,یک,نفت
انجمن,society,دسامبر,براساس,ریاضی
مرد,man,سد,اختلاف,همه
شناخته,known,تر,عملیات,مرتبط
برد,winning,نظر,سید,اکنون
زمینه,area,دادگاه,علیه,یا
رود,river,بر,قوانین,برخوردار
طرف,side,بنابراین,اول,گلستان
اقتصادی,economic,بدست,ریاست,جمله
روسیه,Russia,میرزا,تر,صنعت
پایگاه,base,خدا,پیوند,ساله
ویژه,specially for,بدین,علاوه,جدا
فقط,only,پوشش,نتیجه,هدایت
دانشکده,college,اصفهان,ترکی,اندازه
سرعت,speed,بی,الدین,پی
وزیر,minister,سن,روابط,نوعی
کم,little,قوانین,سالهای,می‌باشد
حالت,state,متولد,پی,میلیون
پی,after,آموزش,فرانسوی,شدند
تر,wet,نگاه,متال,مانده
شرق,orient,تحقیقات,زیر,تقریباً
زنده,fresh,ولایت,امنیت,ارتش
بیماری,illness,راک,حمل,مجله
قرآن,Qoran,ضد,اروپا,ترانه
اکنون,currently,ذکر,می‌کنند,افزایش
اندازه,size,تیر,احمد,اما
بررسی,inspection,کرده,دفاع,مهندسی
مدرسه,school,درباره,اجازه,فرانسوی
آمده,incoming,پروژه,انتقال,خوانندگان
شمار,number,رفته,هزار,توانست
ارائه,providing,احتمال,غرب,سبک
رضا,Reza,مربع,نیز,هنری
بدن,body,ص,شکل,چین
مدیریت,management,شیعه,پایان,اصفهان
دی,Dey,شهریور,پروژه,کوتاه
علم,science,کننده,خدمت,معروف
کل,total,پوشش,وی,فعالیت
کشاورزی,agriculture,رفت,خدمت,بازگشت
دیده,seen,کنار,اعلام,انتقال
نشر,spreading,گردید,نام,بهترین
نیاز,requirement,مادر,بیت,پرداخت
سن,Seine,جهانی,رو,آن
گونه,manner,خدا,اين,مردم
ارتش,military,متفاوت,مرداد,ترجمه
نامه,letter,صورت,تخت,روزنامه
پرداخت,polishing,وزارت,دسامبر,خراسان
نمایش,illustration,پایین,شرح,امر
حمله,attack,دوباره,گل,بندی
ترتیب,system,آن,ساله,متر
مشهور,well-known,خلق,آنچه,کرده
جامعه,society,اول,مه,خوبی
موارد,cases,رفت,فضایی,ذکر
آخرین,last,محسوب,تحقیقات,چنین
کنترل,inspection,مرد,جهانی,اقتصادی
هنری,artistic,نماینده,ثابت,نوشته
کاهش,reduction,تصویر,پاریس,توسط
رو,visage,شرایط,وجود,فاصله
تقسیم,division,فناوری,چپ,شهر
دار,gallows,میراث,بود,عصر
شهری,urban,انسان,می‌دهند,پزشکی
ناشر,publisher,بلند,دوباره,مرتبط
قدیمی,old,مربع,کشتی,سازی
بعضی,some,ش,انتخابات,کسی
عدد,piece,اعلام,شدند,کار
طرح,project,اندازه,گرم,درآمد
صنعتی,industrial,مشهور,عبور,اول
دستگاه,plant,خوانندگان,شناسی,حسین
عالی,supreme,اتحادیه,سیستم,معنای
مصر,Egypt,کنترل,وب,اصلی
پهلوی,Pavlavi,ق,رشته,هاي
سنگ,stone,خدا,وسیله,مسائل
خاطر,sake,زاده,همانند,گروه
ساعت,hour,دورهٔ,همان,نزد
دین,religion,راه,شهرت,سال
تبریز,Tabriz,رنگ,فضای,نفر
بازار,market,معنای,جنبش,ممکن
پایه,rank,پایه,یافته,خیلی
فصل,season,پاسخ,بازار,مصرف
باستان,ancient.,‌,جزیره,پاریس
دختر,girl,عصر,دورهٔ,دیده
پرونده,records,و,این,اصل
حاضر,willing,خرداد,آب,خویش
محمود,Mahmud,ایرانیان,اقتصادی,ورودی
دانش,knowledge,تجاری,وزن,اسپانیا
بیان,expression,اجازه,چشم,بندر
ارتفاع,height,وزن,مسلمانان,جوایز
مساحت,area,اغلب,اتحاد,فوتبال
پخش,scattering,ساده,مانده,اصلی
اجرا,performance,بزرگ,ای,موقعیت
داخل,inside,آنکه,شامل,فارس
آزادی,release,شده,یونان,نقل
البته,surely,دنبال,نژاد,اکتبر
پادشاه,king,تولید,مقام,عمر
انگلستان,England,هستند,جوایز,بهمن
همسر,spouse,کلی,شمالی,سپاه
ارتباط,relation,طرف,داشتن,اوایل
فرزند,child,مصر,کارشناسی,دفتر
انتقال,transfer,ج,بوده,طول
خاص,special,سازی,ناسا,درمان
امور,affairs,خلیج,همراه,نیاز
معرفی,reaction,مهم,کنونی,بررسی
خارجی,foreigner,مواد,مدتی,خبرگزاری
نشانی,sign,جمهوری,تأسیس,صد
نور,Nur,خواهد,خاک,یعنی
چشم,eye,خراسان,رضوی,ساله
انرژی,energy,زن,فرهنگی,ترین
تعریف,definition,مدل,نقشه,کرد
پنج,five,ثبت,براساس,دانش
دادن,give,زمینه,اکبر,طول
میدان,square,نخست,بانک,شروع
تهیه,provision,نموده,فهرست,جام
عباس,Abbas,قسمت,توضیح,ایالات
هدف,target,قدرت,شاه,منظور
مصرف,use,می‌شد,سالهای,درخت
ساختمان,structure,ساز,اسلام,پیش
نسخه,prescription,استرالیا,توان,دورهٔ
فاصله,distance,پاریس,تمامی,نرم
امروزه,nowadays,سیاست,پروژه,بکار
تن,ton,زندان,رضوی,نفت
علاوه,excess,دولت,جامع,چیزی
نقل,transportation,ژوئیه,پیروزی,کردند
واژه,word,مدل,نماینده,بوده
ماده,matter,شعر,آن‌ها,در
شرح,explanation,واژه,تاریخچه,پیروزی
کشته,murdered,منبع,نخستین,اسلام
شب,night,مطالعات,کد,نقشه
ابتدا,start,آفریقا,نامیده,هوایی
مشخص,specific,اعداد,هوای,بندر
موضوع,topic,کارهای,می‌باشند,آمده
ده,ten,شبکه,تحصیل,مشهور
سفید,white,کیلومتر,مراسم,اوت
مارس,March,زنده,جنسی,و
ازدواج,marriage,ارائه,شهرهای,سیارک‌ها
کارگردان,stage manager,کاری,اشاره,سیاه
نخست,first,نقاشی,حقیقت,در
کیلومتری,kilometer,انقلاب,می‌گردد,مسابقات
خاک,soil,حاضر,نشده,آثار
مثل,model,کسی,متولد,حد
هنوز,yet,نخستین,حمله,درگذشت
پل,Paul,تاریخی,آمده,سنگ
کوتاه,short,المپیک,نقل,انتخابات
ابراهیم,Ibrahim,عربی,کاربرد,خیلی
میزان,rate,مدیر,فرد,شده
محلی,residential,شدن,همان,سرخ
سالگی,age of,روم,پادشاهی,اردیبهشت
اقتصاد,economy,نیویورک,مانند,می‌گوید
سفر,trip,بن,تهران,دیگر
ژانویه,January,فنی,به,بریتانیا
مربع,square,تشکیل,یعنی,اصل
مثال,likeness,حرکت,اجرام,محصول
مهدی,Mehdi,مسائل,یونانی,شده
سرزمین,territory,دادن,کرمان,قتل
فلسفه,philosophy,بطور,هوایی,میلیون
اصل,truth,استقلال,ارائه,داشتن
نظریه,view,می‌باشند,اقتصادی,فنی
یاد,memory,طبق,متولد,آنجا
اکتبر,october,تشخیص,متحد,هدف
خدا,God,هر,اوت,تصویب
فرد,person,مراسم,توسعه,موفق
زیاد,Ziad,برنده,اما,لندن
بریتانیا,Britain,احمد,سالگی,ژوئن
جشنواره,festival,سپاه,روستایی,زمین
شکست,fracture,آبان,وقتی,حضور
کلی,general,جمهور,انتقال,شدن
علیه,against,ساختمان,سه,تلویزیون
متولد,born,د,بازیگران,روستای
اساسی,fundamental,گاه,وارد,بازیگران
نمونه,type,بلند,آذربایجان,مقاومت
رودخانه,river,عرب,نسبت,شدند
جمهور,public,روستای,مردم,بهمن
مقدار,worth,تاسیس,شعر,هنر
انسانی,humane,رضا,آزادی,قدیمی
نظام,system,شخصیت,زبان,خانواده
معماری,architecture,عراق,کننده,اکنون
باقی,rest,زیر,خاص,پدرش
برجسته,prominent,پهلوی,شمسی,خدمت
مسیر,route,خوانده,زمینه,پس
کسی,someone,روی,نسبت,البته
ایشان,she,اشعار,نام,مطلق
مهر,Mehr,شبکه,احتمال,اسلام
درگذشت,demise,می,اتحادیه,قدیم
شاعر,poet,فاصله,وی,پی
فرانسوی,French,جریان,کننده,دوران
گسترش,expansion,خدا,رهبری,حرکت
رادیو,radio,داخل,نامیده,می‌کردند
آوریل,April,بودن,علمی,ان
پر,loaded,اعداد,پرونده,دوست
مقابل,opposite,داخلی,بودن,مهاجرت
مقام,position,موسسه,آن‌ها,کارهای
خون,blood,علیه,مسیر,ولایت
چندین,some,کتابخانه,نامیده,جمهوری
امکان,probability,روشن,که,مسابقات
نوامبر,November,اند,شب,ساز
منظور,intention,مشاهده,فرانسوی,قانون
تحصیل,education,نقل,داد,بعد
اغلب,often,اهالی,احمد,قاجار
همچون,like,فرانسوی,تولید,روسیه
شخصی,private,ه,درجه,زیر
دسته,handle,نظامی,رسمی,قرمز
عامل,skilled,بر,دین,لحاظ
دسامبر,December,نو,یکی,کسب
عمر,Omar,پایین,رهبری,بررسی
نوعی,typical,قرآن,جشن,رسید
دلار,Dollar,مهر,وابسته,نظریه
وقتی,whenever,خارج,عرب,نشر
بازگشت,return,ای,سلطنت,خان
همکاری,collaboration,نقاشی,شرق,مشهد
دولتی,governmental,امکان,پیام,داشت
کسب,profession,عبارت,اساسی,سالگی
تلویزیونی,televised,پدرش,تهیه,رنگ
شوروی,Soviet Union,کشوری,نظیر,در
باستانی,ancient,د,یکدیگر,جدا
ثبت,registeration,یعنی,ترک,نظر
نامیده,named,تاریخ,جنوب,کمتر
موجب,motive,سایر,ژانویه,نقش
دستور,order,حقیقت,ایالات,طرح
هفت,seven,پرواز,امر,سمت
اولیه,primitive,ویژه,جنوبی,ادبیات
بندر,seaport,شبه,جان,آذربایجان
نژاد,race,قابل,نگهداری,بیشتر
محسوب,counted,ارزش,تهیه,رفته
عملیات,operations,مطلق,آب,بین‌المللی
عهده,trust,قدیم,یا,نظام
جمع,total,گلستان,گذشته,شعر
ناحیه,area,بازی,فرزند,ایرانیان
کشف,discovery,کرد,شهرداری,تصویر
یمن,Yemen,ایتالیا,می‌آید,قدرت
نو,new,سه,سلطان,آزاد
توضیح,exposition,ژوئیه,دو,تمام
زیرا,because,ورودی,سیاسی,شهرستان
حمایت,support,کار,اصلی,چشمه
اطراف,surrounding,بنیاد,رفته,زاده
طبق,based on,زاده,اکبر,شناسی
نفت,petroleum,شروع,مختلف,نتایج
نقطه,point,باشگاه,ایران,استفاده
پایین,low,آمریکا,پرونده,ارائه
ستاره,star,نویسنده,آهن,خصوصی
موزه,museum,سفر,ناسا,بازدید
محیط,environment,کارگردان,دهه,فرهنگ
پارک,park,امپراتوری,دستور,خیلی
موفق,successful,همچنین,تدوین,صدای
دقیقه,minute,بسته,سخن,یاد
لازم,necessary,پادشاهی,سازمان,فناوری
بیست,twenty,دید,می‌دهد,دوران
کنونی,present,جامعه,امیر,سالهای
شما,yours,انجام,مثال,شماره
خواننده,singer,یک,اضافه,غرب
فیزیک,physics,بهار,ابتدا,حمله
دریایی,sea,اقتصاد,ایستگاه,گروهی
ژاپن,Japan,حال,اسپانیا,همسر
ذکر,remembering,فصل,گلستان,عبارتند
خیابان,street,یادکرد,می‌توان,آخر
فروش,sale,دنبال,مذهبی,نویسندگان
تاریخچه,diary,تلاش,کارگردانی,شرق
پشت,rear,میلاد,کنند,مدیر
نیویورک,New York,شیعه,فوق,دوباره
معاصر,contemporary,گیلان,مدیر,ورود
باغ,orchard,رنگ,مواد,ارزش
درمان,treatment,شیمیایی,میرزا,سپاه
